Time (UTC),Plays
10/8/2020 00:00:00,0
10/9/2020 00:00:00,0
10/10/2020 00:00:00,0
10/11/2020 00:00:00,0
10/12/2020 00:00:00,0
10/13/2020 00:00:00,0
10/14/2020 00:00:00,1
10/15/2020 00:00:00,45
10/16/2020 00:00:00,2
10/17/2020 00:00:00,0
10/18/2020 00:00:00,0
10/19/2020 00:00:00,2
10/20/2020 00:00:00,2
10/21/2020 00:00:00,0
10/22/2020 00:00:00,1
10/23/2020 00:00:00,0
10/24/2020 00:00:00,7
10/25/2020 00:00:00,1
10/26/2020 00:00:00,1
10/27/2020 00:00:00,0
10/28/2020 00:00:00,0
10/29/2020 00:00:00,3
10/30/2020 00:00:00,0
10/31/2020 00:00:00,1
11/1/2020 00:00:00,0
11/2/2020 00:00:00,0
11/3/2020 00:00:00,1
11/4/2020 00:00:00,0
11/5/2020 00:00:00,1
11/6/2020 00:00:00,1
11/7/2020 00:00:00,0
11/8/2020 00:00:00,2
11/9/2020 00:00:00,0
11/10/2020 00:00:00,0
11/11/2020 00:00:00,1
11/12/2020 00:00:00,0
11/13/2020 00:00:00,2
11/14/2020 00:00:00,3
11/15/2020 00:00:00,34
11/16/2020 00:00:00,25
11/17/2020 00:00:00,15
11/18/2020 00:00:00,7
11/19/2020 00:00:00,7
11/20/2020 00:00:00,10
11/21/2020 00:00:00,2
11/22/2020 00:00:00,4
11/23/2020 00:00:00,5
11/24/2020 00:00:00,2
11/25/2020 00:00:00,5
11/26/2020 00:00:00,3
11/27/2020 00:00:00,3
11/28/2020 00:00:00,3
11/29/2020 00:00:00,7
11/30/2020 00:00:00,3
12/1/2020 00:00:00,4
12/2/2020 00:00:00,5
12/3/2020 00:00:00,5
12/4/2020 00:00:00,7
12/5/2020 00:00:00,3
12/6/2020 00:00:00,3
12/7/2020 00:00:00,4
12/8/2020 00:00:00,4
12/9/2020 00:00:00,2
12/10/2020 00:00:00,2
12/11/2020 00:00:00,2
12/12/2020 00:00:00,2
12/13/2020 00:00:00,0
12/14/2020 00:00:00,2
12/15/2020 00:00:00,23
12/16/2020 00:00:00,13
12/17/2020 00:00:00,10
12/18/2020 00:00:00,5
12/19/2020 00:00:00,1
12/20/2020 00:00:00,6
12/21/2020 00:00:00,2
12/22/2020 00:00:00,2
12/23/2020 00:00:00,6
12/24/2020 00:00:00,0
12/25/2020 00:00:00,0
12/26/2020 00:00:00,2
12/27/2020 00:00:00,1
12/28/2020 00:00:00,2
12/29/2020 00:00:00,5
12/30/2020 00:00:00,3
12/31/2020 00:00:00,6
1/1/2021 00:00:00,2
1/2/2021 00:00:00,0
1/3/2021 00:00:00,3
1/4/2021 00:00:00,9
1/5/2021 00:00:00,2
1/6/2021 00:00:00,1
1/7/2021 00:00:00,1
1/8/2021 00:00:00,4
1/9/2021 00:00:00,5
1/10/2021 00:00:00,0
1/11/2021 00:00:00,1
1/12/2021 00:00:00,3
1/13/2021 00:00:00,2
1/14/2021 00:00:00,3
1/15/2021 00:00:00,1
1/16/2021 00:00:00,0
1/17/2021 00:00:00,0
1/18/2021 00:00:00,1
1/19/2021 00:00:00,0
1/20/2021 00:00:00,0
1/21/2021 00:00:00,4
1/22/2021 00:00:00,1
1/23/2021 00:00:00,1
1/24/2021 00:00:00,0
1/25/2021 00:00:00,0
1/26/2021 00:00:00,1
1/27/2021 00:00:00,1
1/28/2021 00:00:00,2
1/29/2021 00:00:00,0
1/30/2021 00:00:00,0
1/31/2021 00:00:00,0
2/1/2021 00:00:00,0
2/2/2021 00:00:00,0
2/3/2021 00:00:00,3
2/4/2021 00:00:00,4
2/5/2021 00:00:00,8
2/6/2021 00:00:00,1
2/7/2021 00:00:00,4
2/8/2021 00:00:00,11
2/9/2021 00:00:00,1
2/10/2021 00:00:00,1
2/11/2021 00:00:00,21
2/12/2021 00:00:00,9
2/13/2021 00:00:00,2
2/14/2021 00:00:00,3
2/15/2021 00:00:00,30
2/16/2021 00:00:00,25
2/17/2021 00:00:00,8
